index,name,rating,author_title,review_text,review_rating,date,language,bert_ratings,sentiment_category
0,Lost Weekend,4.4,Lucas Gahn,"['das', 'café', 'ist', 'super', 'und', 'sehr', 'stilvoll', 'eingerichtet', '.', 'es', 'kommen', 'viele', 'studenten', 'von', 'der', 'nähe', 'gelegenen', 'uni', 'her', 'um', 'einen', 'kaffee', 'zu', 'genießen', 'oder', 'einfach', 'mit', 'ihrem', 'laptop', 'zu', 'arbeiten', '.', 'auch', 'eine', 'kleine', 'terrasse', 'hat', 'das', 'café', 'zu', 'bieten', '.', 'das', 'essen', 'und', 'der', 'kaffee', 'sind', 'natürlich', 'sehr', 'gut', '.']",5.0,2023-10-09,de,5,positive
1,Lost Weekend,4.4,Susanne Kosch,"['und', 'jetzt', 'mal', 'halblang', '.', 'könnte', 'auch', 'ein', 'motto', 'hier', 'sein', ',', 'hang', 'loose', '.', '\n', 'zeigt', 'mir', 'irgendeinen', 'ort', 'in', 'uninähe', ',', 'welcher', 'selbstgemachte', 'rein', 'pflanzliche', 'kuchen', 'zu', 'diesem', 'preis', 'anbieten', 'kann', '!', '\n', 'der', 'preis', ':', '\n', 'der', 'preis', 'der', 'kuchen', 'ist', 'dabei', 'münchner', 'durchschnitt', '.', 'die', 'snacks', 'liegen', 'preislich', 'bei', 'den', 'bäckerei-takeaways', ',', 'nur', ',', 'dass', 'ich', 'nicht', 'schauen', 'muss', ',', 'ob', 'es', 'etwas', 'veganes', 'gibt', '.', 'kaufe', 'ich', 'zwei', 'portionen', 'der', 'gerichte', ',', 'so', 'bin', 'ich', 'für', 'knapp', '10', 'euro', 'pappsatt', '.', 'das', 'würde', 'ich', 'sonst', 'auch', 'bezahlen', '.', '\n', 'der', 'geschmack', ':', '\n', 'seit', 'ich', 'mich', 'rein', 'pflanzlich', 'ernähre', 'hatte', 'ich', 'keinen', 'so', 'schmackhaften', 'datschi', 'mehr', '(', 'apfelstreußel', ')', ',', 'bisher', 'auch', 'köstliche', 'torten', '.', '\n', 'die', 'snacks', 'sind', 'auch', 'gschmackig', '(', 'lecker', ')', '.', '\n', 'bonus', ':', '\n', 'ich', 'liebe', 'es', ',', 'dass', 'ich', 'dort', 'bequem', 'auf', 'der', 'fensterbank', 'sitzen', 'kann', 'und', 'nicht', 'auf', 'einem', 'stuhl', 'sitzen', 'muss', '.', '\n', 'manko', ':', '\n', 'teilweise', 'steckenvoll', ',', ' ', 'was', 'ich', 'an', 'sich', 'nicht', 'so', 'mag', 'und', 'insofern', 'konsequenz', 'daraus', ',', 'dass', 'es', 'sich', 'rumgespeochen', 'hat', ',', '...', '\n', 'ideen', ':', '\n', 'ja', 'klar', ',', 'günstig', 'is', 'geil', '.', 'eine', 'essens-bonuskarte', 'für', 'stammgäste', 'wäre', 'schon', 'mal', 'attraktiv', 'und', 'eine', 'anerkennung', 'für', 'stammgäste', '.', '\n', 'was', 'auch', 'cool', 'wäre', ',', 'wenn', 'die', 'schichten', 'mehrfach', 'besetzt', 'wären', ',', 'weil', 'die', 'angestellten', 'recht', 'gechillt', ',', ' ', 'der', 'laden', 'aber', 'oft', 'voll', 'ist', '.', 'bin', 'manchmal', 'deshalb', 'schon', 'dran', 'vorbeigegangen', '...', '\n', 'hintergrund', ':', '\n', 'mein', 'stück', 'bananenbrot', 'war', 'mindestens', 'so', 'groß', ',', ' ', 'wie', 'die', 'bekanntlich', 'xxl-tortenstücke', 'in', 'browns', '.', ' ', 'dort', 'musste', 'ich', 'mir', 'aber', 'bei', 'der', 'frage', 'nach', 'hafermilch', 'anhören', ',', '""', 'wir', 'glauben', ',', 'dass', 'unsere', 'echte', 'milch', 'immer', 'noch', 'gesund', 'und', 'das', 'beste', 'ist', '""', '.', 'wenn', 'menschen', ',', 'ernährungsstile', 'und', 'lebensweisen', 'respektiert', 'werden', ',', 'warum', 'soll', 'sich', 'dann', 'das', 'komplett', 'pflanzliche', 'café', 'rechtfertigen', 'und', 'nicht', 'das', 'tierische', '?']",5.0,2023-10-09,de,2,neutral
2,Lost Weekend,4.4,sahar sajedi,"['wässriger', 'kaffee', '.', 'nichts', 'für', 'nicht', 'veganer', '.']",2.0,2023-10-04,de,4,positive
3,Lost Weekend,4.4,Canberk,"['great', 'place', 'to', 'study', 'all', 'day', 'and', 'drink', 'some', 'good', 'coffee', '.', 'also', 'have', 'many', 'vegan', 'products', '.', 'thanks', 'to', 'this', 'place', ',', 'i', 'think', 'i', 'can', 'meet', 'my', 'deadlines', '.']",5.0,2023-09-28,en,5,positive
5,Lost Weekend,4.4,Ella H,"['überfülltes', 'studentencafe', '.', 'nettes', 'ambiente', 'aber', 'schwer', 'einen', 'platz', 'zu', 'finden', 'und', 'selbst', 'mit', 'kopfhörern', 'noch', 'laut', '.', 'kaffee', 'schmeckt', 'ist', 'aber', 'typisch', 'für', 'münchen', 'sehr', 'klein', '.']",4.0,2023-09-20,de,3,positive
6,Lost Weekend,4.4,Roy Shoham,"['great', 'place', 'to', 'work', 'on', 'your', 'laptop', 'over', 'the', 'weekend', 'or', 'just', 'grab', 'a', 'coffee', '.', 'had', 'an', 'excellent', 'cold', 'brew', '.']",5.0,2023-09-18,en,5,positive
7,Lost Weekend,4.4,cora blank,"['gemütliche', 'atmosphäre', ',', 'feines', 'sortiment', 'an', 'kuchen', 'und', 'snacks', ',', 'exzellenter', 'kaffee', '.', 'man', 'kann', 'ohne', 'aufpreis', 'zwischen', 'verschiedenen', 'milchalternativen', 'auswählen', '👌', 'unter', 'der', 'leitung', 'des', 'ladens', 'von', 'john', 'gehen', 'wir', 'sehr', 'gerne', 'wieder', 'und', 'regelmäßig', 'ins', 'lost', '\U0001faf6', '📖', '✨']",5.0,2023-09-16,de,5,positive
8,Lost Weekend,4.4,Maksim Tonyushkin,"['great', 'service', 'and', 'even', 'better', 'drinks', '.', ' ', 'they', 'take', 'their', 'time', 'with', 'each', 'order', 'and', 'it', 'shows', 'in', 'the', 'quality', '.', ' ', 'the', 'atmosphere', 'is', 'nice', 'for', 'working', 'as', 'most', 'people', 'are', 'doing', 'here', '.', ' ', 'unfortunately', 'in', 'my', 'experience', 'neither', 'my', 'phone', 'nor', 'computer', 'were', 'able', 'to', 'connect', 'to', 'the', 'in', '-', 'house', 'wifi', ',', 'but', 'i', 'was', 'able', 'to', 'catch', 'the', 'eduroam', 'signal', 'from', 'next', 'door', 'on', 'my', 'computer', '.']",5.0,2023-09-13,en,4,positive
9,Lost Weekend,4.4,Vincent Ursch,"['lief', 'grad', 'n', 'boomer', 'vorbei', 'und', 'meinte', 'das', 'sieht', '""', 'jung&hip', '""', 'aus']",5.0,2023-09-11,de,1,negative
10,Lost Weekend,4.4,Doron Karaman,"['in', 'general', 'a', 'very', 'nice', 'coffee', 'place', '.', '\n\n', 'i', 'correct', 'myself', 'regarding', 'the', 'following', 'former', 'phrase', '""', 'but', 'somehow', '-', 'without', 'any', 'information', 'to', 'customers', 'that', 'i', 'know', 'of', '-', 'cancelled', 'their', 'bonus', 'coffee', 'card', '""', ':', '\n\n', 'the', 'owner', 'informed', 'me', 'that', 'the', 'card', 'had', 'been', 'canceled', 'for', 'four', 'years', 'now', '.', 'given', 'that', 'this', 'is', 'in', 'a', 'student', 'area', 'and', 'frequently', 'visited', 'by', 'students', ',', 'it', 'seems', 'somewhat', 'unfriendly', 'to', 'them', '.', '\n\n', 'however', ',', 'considering', 'the', 'circumstances', 'of', 'the', 'pandemic', ',', 'this', 'might', 'be', 'an', 'oversimplified', 'assumption', '.', '\n\n', 'especially', 'gastronomic', 'businesses', 'struggled', 'and', 'still', 'have', 'to', 'make', 'up', 'for', 'lost', 'revenue', '.', 'if', 'you', 'factor', 'in', 'the', 'ambiance', 'and', 'the', 'option', 'to', 'sit', 'and', 'work', 'e.g.', 'on', 'university', 'assignments', ',', 'it', ""'s"", 'quite', 'a', 'pleasant', 'place', '.', '\n\n', 'the', 'higher', 'prices', 'might', 'stem', 'from', 'the', 'broader', 'issue', 'of', 'patrons', 'occupying', 'space', 'for', 'extended', 'periods', 'while', 'only', 'consuming', 'tap', 'water', '.', '\n\n', 'having', 'a', 'more', 'inclusive', 'image', 'from', 'the', 'start', ',', 'the', 'lost', 'weekend', 'always', 'has', 'been', 'a', 'great', 'spot', 'for', 'different', 'people', 'with', 'a', 'vast', 'variety', 'of', 'events', '.', '\n\n', 'nevertheless', ',', 'critiquing', 'the', 'decision', 'to', 'eliminate', 'the', 'bonus', 'card', 'is', 'valid', '.', 'beyond', 'the', 'potential', 'to', 'sell', 'more', 'coffee', ',', 'and', 'without', 'merely', 'focusing', 'on', 'capitalistic', 'incentives', ',', 'it', 'offers', 'a', 'chance', 'to', 'make', 'coffee', 'more', 'affordable', 'for', 'people', ',', 'including', 'students', 'with', 'varying', 'budgets', '.', '\n\n', 'on', 'the', 'other', 'hand', ',', 'the', 'choice', 'to', 'forego', 'a', 'bonus', 'card', 'and', 'instead', 'provide', 'students', 'with', 'a', 'place', 'to', 'stay', 'and', 'work', 'is', 'commendable', '.', 'increasingly', ',', 'there', 'are', 'locations', 'where', 'displaying', 'a', 'laptop', 'openly', 'is', 'no', 'longer', 'permitted', '.']",4.0,2023-09-11,en,4,positive
11,Lost Weekend,4.4,Sagi W,"['no', 'wifi', '.', '\n', 'the', 'owner', 'aware', 'of', 'that', 'but', 'seems', 'like', 'they', 'do', 'n’t', 'care', '.', '\n', 'shame', '.', 'go', 'elsewhere', '.']",1.0,2023-09-10,en,1,negative
12,Lost Weekend,4.4,Silvia Amighini,"['very', 'cool', 'coffee', 'spot', '.', 'the', 'service', 'was', 'just', 'ok', '.', 'got', 'my', 'order', 'and', 'did', 'not', 'know', 'if', 'they', 'were', 'supposed', 'to', 'bring', 'it', 'to', 'me', 'or', 'they', 'just', 'called', 'me', 'when', 'it', 'was', 'ready', '.', 'they', 'did', 'neither', '.', 'prices', 'according', 'to', 'the', '“', 'market', '”', '.', 'good', 'vegan', 'sandwiches', '.', 'matcha', 'latte', 'was', 'ok', '.']",3.0,2023-09-07,en,3,positive
14,Lost Weekend,4.4,Nick A,"['very', 'lively', ',', 'great', 'prices', '.', 'the', 'perfect', 'location', 'to', 'grab', 'a', 'coffee', 'and', 'get', 'some', 'work', 'done', '.', 'some', 'nights', 'it', 'also', 'converts', 'into', 'a', 'venue', 'spot', 'with', 'live', 'music', '.', 'i', 'always', 'like', 'to', 'come', 'to', 'visit', '.']",5.0,2023-08-27,en,5,positive
15,Lost Weekend,4.4,Stanislav Andreev,"['nice', 'spot', 'for', 'coffee', 'and', 'cocktails', '!', 'while', 'it', 'was', 'too', 'warm', 'indoors', ',', 'they', 'had', 'outdoor', 'seating', 'available', '.', 'the', 'coffee', 'was', 'excellent', ',', 'and', 'their', 'aperol', 'was', 'quite', 'decent', '.', 'however', ',', 'the', 'red', 'wine', 'was', ""n't"", 'up', 'to', 'par', '.']",4.0,2023-08-27,en,4,positive
16,Lost Weekend,4.4,Nicole N.,"['alles', 'vegan', 'und', 'super', 'lecker', '!']",5.0,2023-08-26,de,5,positive
17,Lost Weekend,4.4,Miguel Fernandez,"['amazing', 'feeling', ',', 'university', 'bar', ',', 'very', 'alternative', ',', 'very', 'inclusive', ',', 'very', 'mix', 'with', 'the', 'events', 'offer', 'and', 'all', 'kinds', 'of', 'people']",5.0,2023-08-24,en,5,positive
18,Lost Weekend,4.4,Siran,"['you', 'could', 'stay', 'as', 'long', 'as', 'you', 'want', 'doing', 'your', 'stuff', ',', 'provided', 'that', 'you', '’re', 'not', 'bothered', 'by', 'the', 'crowd', 'and', 'the', 'noise', '!', 'i', 'would', 'say', 'the', 'atmosphere', 'is', 'cozy', 'and', 'contemporary', '.']",4.0,2023-08-24,en,3,positive
